id,brand,status,sortDate,dateLabel,category,platform,title,caption,hashtags,pinned,notes,assetLink,assetLinkArchive,createdAt,updatedAt
i6dngh3uxwyavqbvchee,mccray,drafted,,Wk1 Mon,Announcement,Facebook + Instagram,Big Feelings (Announcement),"Every kid runs into moments bigger than they are. A missed shot, the night before a new school, a friend who suddenly goes quiet. 💛

The McCray Learning Lab turns those moments into short, warm story-comics kids can play through on their own or right beside a grown-up. A friendly voice reads every word out loud, and, one calm choice at a time, they rehearse the skill for real life.

25 stories. Read aloud. Six free forever, no account needed.
▶️ Start free: mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #SEL #GrowthMindset #ReadAloud #KidsBooks,,,C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\fb-post-big-feelings.png,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\fb-post-big-feelings.png,1789523925199,1789528215488
iqj8dnvyuoif2jr34xnd,mccray,drafted,,Wk2 Tue,Gameplay Reel,Facebook + Instagram Reel,Gameplay Reel — Keep the Love,"Watch what happens when a kid picks the ""wrong"" answer. 👀

Nothing breaks. Nobody's scolded. It just says ""Not quite, try again!"" and lets them try. That's the whole idea: a safe place to practice a big feeling before it happens for real. 💛

A friendly voice reads every word, and the kid makes the choices. 🔊👆 No reading required, and six full stories are free forever, no sign-up at all.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #ChildhoodGrief #GriefSupport,,"20.6s, warm empathetic piano bed, ‑15 LUFS.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-keep-the-love.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-keep-the-love.mp4,1789523927079,1789528216447
71if35piwavxyj8fpnmk,mccray,drafted,,Wk1 Tue,Gameplay Reel,Facebook + Instagram Reel,Gameplay Reel — Word Detective,"Watch what happens when a kid picks the ""wrong"" answer. 👀

Nothing breaks. Nobody's scolded. It just says ""Not quite, try again!"" and lets them try. That's the whole idea: a safe place to practice a big feeling before it happens for real. 💛

A friendly voice reads every word, and the kid makes the choices. 🔊👆 No reading required, and six full stories are free forever, no sign-up at all.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #ReadingComprehension #EarlyReaders #Phonics,,"20.6s, playful whimsical music bed, ‑15 LUFS.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-word-detective.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-word-detective.mp4,1789523925520,1789528215977
jivvqwj5tm4t2cybmyu3,mccray,drafted,,Launch day (before Wk1),Launch Reel,Facebook + Instagram Reel,Launch Reel — Three New Stories (EN),"NEW AT THE McCRAY LEARNING LAB ✨

Three New Stories — Notice. Wonder. Speak up.

""The Corner We Fixed"" — We solve it together
""The Why Door"" — I wonder
""Heard"" — I can do it

Watch Marcus decide what to do next: blurt it out in the middle of the game, or ask Coach for a minute and use the three steps? (Try again gets him there.)

Three new stories. One library of brave skills.
▶️ mccraylearninglab.com (IG: link in bio)
＋ Follow for a new story every week",#McCrayLearningLab #SEL #GrowthMindset #NewRelease,,"Introduces The Corner We Fixed / The Why Door / Heard — not covered by any other seeded caption. Choice beat: ""What should Marcus do?"" A) Blurt it out, angry, in the middle of the next game. B) Ask Coach for a minute after practice, and use the three steps (correct — crossfades gold with a ✓ stamp). Full timed script: facebook-kit/reels/src/three-new-stories-scene.html.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-three-new-stories.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-three-new-stories.mp4,1789527243564,1789528222132
01az8va3fwzj5cmnh19q,mccray,drafted,,Launch day (before Wk1),Launch Reel,Facebook + Instagram Reel,Launch Reel — Tres Cuentos Nuevos (ES),"NUEVO EN THE McCRAY LEARNING LAB ✨

Tres cuentos nuevos — Fíjate. Pregunta. Alza la voz.

""El rincón que arreglamos"" — Lo resolvemos juntos
""La puerta del porqué"" — Me pregunto
""Escuchado"" — Yo puedo

Mira a Marcus decidir qué hacer en el cuento Escuchado.

Tres cuentos nuevos. Una biblioteca de valentía.
▶️ mccraylearninglab.com (bio: enlace)
＋ Síguenos: un cuento nuevo cada semana",#McCrayLearningLab #SEL #GrowthMindset #NewRelease,,"Spanish edition of the launch Reel above. Toast copy: ""↻ Casi. ¡Inténtalo otra vez!"" Full timed script: facebook-kit/reels/src/three-new-stories-scene-es.html.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-three-new-stories-es.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-three-new-stories-es.mp4,1789527243805,1789528222404
yg8f1rjeag7c602tx5d3,mccray,drafted,,Reel library — anytime,Reel Library,Facebook + Instagram Reel,Reel — The Finish Muscle (Malik),"Watch what happens when a kid picks the ""wrong"" answer. 👀

Nothing breaks. Nobody's scolded. It just says ""Not quite, try again!"" and lets them try. That's the whole idea: a safe place to practice a big feeling before it happens for real. 💛

A friendly voice reads every word, and the kid makes the choices. 🔊👆 No reading required, and six full stories are free forever, no sign-up at all.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #ReadingStamina #ScreenTimeDoneRight,,"Audience: kids 7-11. Music: warm, hopeful acoustic. 20.6s.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-the-finish-muscle.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-the-finish-muscle.mp4,1789527242662,1789528220444
o7yhsqe1nl5xtre6000z,mccray,drafted,,Reel library — anytime,Reel Library · Grown-ups,Facebook + Instagram Reel,Reel — The Magic Words (Grown-Up's Turn),"This one's not for your kid. It's for you. 🍎

Your child comes home deflated. What do you say first? The Grown-Up stories put you in the choice seat, and if the first thing you'd say isn't the one that helps, you just… try again. No judgment, no lecture.

Practice the hard conversations before you're in one. The Grown-Up series is part of the Lab membership; the six free stories show you exactly how it feels.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #ConsciousParenting #GentleParenting,,"Audience: grown-ups (badged ""🍎 for grown-ups""). Music: warm, hopeful acoustic. 20.6s.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-grownups-the-magic-words.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-grownups-the-magic-words.mp4,1789527243306,1789528221758
ifsua2aqf83i0znvx3ho,mccray,drafted,,Reel library — anytime,Reel Library,Facebook + Instagram Reel,Reel — Train Like a Champion (Riley),"Watch what happens when a kid picks the ""wrong"" answer. 👀

Nothing breaks. Nobody's scolded. It just says ""Not quite, try again!"" and lets them try. That's the whole idea: a safe place to practice a big feeling before it happens for real. 💛

A friendly voice reads every word, and the kid makes the choices. 🔊👆 No reading required, and six full stories are free forever, no sign-up at all.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #YouthBasketball #MindsetMatters,,"Audience: kids 7-11. Music: cheerful, light percussion. 20.6s.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-train-like-a-champion.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-train-like-a-champion.mp4,1789527242845,1789528221007
5ah7ddjmjpfogmbe0teu,mccray,drafted,,Reel library — anytime,Reel Library · Grown-ups,Facebook + Instagram Reel,Reel — When They Come Home Deflated,"This one's not for your kid. It's for you. 🍎

Your child comes home deflated. What do you say first? The Grown-Up stories put you in the choice seat, and if the first thing you'd say isn't the one that helps, you just… try again. No judgment, no lecture.

Practice the hard conversations before you're in one. The Grown-Up series is part of the Lab membership; the six free stories show you exactly how it feels.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #ConsciousParenting #GentleParenting,,"Audience: grown-ups (badged ""🍎 for grown-ups""). Music: warm empathetic piano. 20.6s.",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\reels\reel-grownups-when-they-come-home-deflated.mp4,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\reels\reel-grownups-when-they-come-home-deflated.mp4,1789527243102,1789528221454
i6ifz51oj9omoc43vm2b,mccray,drafted,,Wk1 Fri,Spotlight · Membership,Facebook + Instagram,Spotlight — Keep the Love (Micah),"When Micah's dog Biscuit dies, the water bowl by the door is still full. 💛

Keep the Love is a gentle story about grief. Auntie Nia doesn't try to make the sad go away. She shows Micah something truer: love doesn't leave. We learn to carry it.

A tender read-aloud for ages 6-12, part of the Lab membership. Start with the six free stories and see if the Lab is your family's kind of place.
▶️ mccraylearninglab.com (IG: link in bio)",#McCrayLearningLab #ChildhoodGrief #GriefSupport #PetLoss,,"Baked-in image hook: ""When Micah's dog dies, he learns that love doesn't leave. We learn to carry it.""",C:\Users\ellas\Downloads\mccray-learning-lab-site\facebook-kit\spotlights\spotlight-keep-the-love.png,F:\Sanders Learning Archive\02-McCray-Learning-Lab\mccray-learning-lab-site\facebook-kit\spotlights\spotlight-keep-the-love.png,1789523926447,1789528217252
